STCOFIPS,TOT_POP,MALE_POP,FEMALE_POP,UNDER_5_POP,5_9_POP,10_14_POP,15_19_POP,20_24_POP,25_34_POP,35_44_POP,45_54_POP,55_59_POP,60_64_POP,65_74_POP,75_84_POP,85_PLUS_POP,MEDIAN_AGE,WHITE_POP,BLACK_POP,NATIVE_POP,ASIAN_POP,OTHER_RACE_POP,HISPANIC_LATINO_POP,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,OWNER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_UNITS
48373,50536,27262,23274,2548,2687,3196,2707,2868,5766,6270,6364,3842,4811,6793,1989,695,43.8,39621,4085,866,321,956,50536,25087,18084,14110,3974
48375,117905,60843,57062,8276,9010,9222,8248,8071,16954,15635,13696,6623,6300,9224,4534,2112,34.5,79258,12199,927,6088,4988,117905,48952,42824,23904,18920
48377,6168,3029,3139,505,693,281,464,431,325,796,498,486,284,798,481,126,41.9,3571,0,42,2,113,6168,3396,2275,1683,592
48379,12257,6127,6130,538,600,812,649,467,1109,1459,1444,866,1371,1834,879,229,47.6,11102,325,107,99,313,12257,5811,4710,3766,944
48381,141489,70037,71452,8503,9392,9996,10448,9911,19580,19769,15797,7762,8481,13232,6340,2278,36.4,113385,4669,970,2642,4662,141489,60525,54984,38208,16776
48383,3308,1697,1611,298,297,304,190,233,446,580,343,197,143,180,61,36,33,1572,86,0,89,1072,3308,1325,1090,735,355
48385,2830,1324,1506,162,155,202,249,95,223,118,239,198,223,598,303,65,52.3,2681,37,0,0,86,2830,1817,992,736,256
48387,11627,5656,5971,699,353,901,654,551,988,1177,1607,877,804,1724,1157,135,48.9,8995,1816,215,38,176,11627,6195,4662,3497,1165
48389,14022,8530,5492,835,763,1017,1399,873,2027,2148,2087,636,496,992,434,315,35.4,7512,400,117,152,3097,14022,5064,4117,3089,1028
48391,6718,3179,3539,377,353,511,457,317,865,635,804,516,384,890,434,175,42.9,4735,447,17,16,166,6718,3311,2235,1694,541
48393,764,422,342,19,59,81,32,37,49,113,85,105,76,76,10,22,42.5,736,3,3,0,0,764,397,320,277,43
48395,16912,8398,8514,1062,1000,1251,1194,849,1902,2054,1913,867,1395,2099,794,532,40.6,11078,3525,25,39,452,16912,8494,6309,4746,1563
48397,110631,55091,55540,6637,8272,8932,8472,6276,12436,17301,15341,7717,5573,8374,4017,1283,37.6,83211,8568,1118,3641,3670,110631,39281,37881,31503,6378
48399,9858,4976,4882,552,766,626,664,410,1174,1123,1220,644,649,1077,700,253,40.9,7818,295,84,6,278,9858,5008,3780,2907,873
