county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Morton County,North Dakota,48.94536067725513,4,0.4870068936609771,0.4246575342465754,0.6380834091821515,0.3266434029419791,0.693889331593226,0.5489163079779943,7742.36265959552,6663.323999269838,1070.9700818471003,8.068578478581488,0,33777,15465,79382,1980,3,1,1,0
Mountrail County,North Dakota,33.0676567106839,1,0.4707798381286512,0.1917808219178082,0.6881858865825977,0.3234120255773075,0.43106566859967366,0.4480863560197579,5193.887133854615,3912.6443407262745,736.6452318367824,544.5975612915583,0,9507,5099,80717,1997,6,2,4,0
Nelson County,North Dakota,31.74789219842074,1,0.33099983827718954,0.6575342465753424,0.7838315060309329,0.25600215647996555,0.7268654867025177,0.3567856432500483,533.583397261673,485.89613085983245,40.46792560266836,7.219340799172194,0,3016,1783,67193,1963,3,1,1,0
Oliver County,North Dakota,25.96985089883961,1,0.36020877700341286,0.4794520547945206,0.629173682696735,0.3077727470121904,0.6020670623794175,0.31745371467033695,958.6496985784411,761.466106340401,194.12391002694073,3.0596822110993385,0,1839,893,77240,1976,4,1,2,0
Pembina County,North Dakota,38.07208286272928,2,0.4023661151145694,0.5753424657534247,0.8563118215215855,0.25494464812578344,0.684331569361203,0.4205772748232222,1922.3085225863147,1656.6237500852458,251.50277444119635,14.181998059872742,0,6727,3503,68393,1969,3,1,1,1
Pierce County,North Dakota,31.232351405472798,1,0.40620178675399166,0.5342465753424658,0.7552607760852537,0.23202277727499754,0.5908259079630727,0.37779369528392465,2848.736000784105,2397.2766535743526,431.215765905936,20.243581303816615,0,3928,2042,59365,1972,5,1,3,0
Ramsey County,North Dakota,39.157179436780176,2,0.45660492797777963,0.4794520547945206,0.7852080385818568,0.2501699389644456,0.5885754904085694,0.46360904922815227,5949.551889713193,5036.887129962676,840.493513642776,72.17124610774074,0,11556,5872,61006,1976,5,1,3,0
Ransom County,North Dakota,34.734940826791686,1,0.4017905905728819,0.5753424657534247,0.6771069361079466,0.29725083920543305,0.6129295604252016,0.40660343865337467,2245.408068101026,1910.9666720746231,257.3217255646114,77.11967046179112,0,5643,2546,75736,1969,4,1,2,0
Renville County,North Dakota,26.739016489888183,1,0.38313311984038495,0.5205479452054795,0.6694543202325994,0.28590400201698507,0.5422999811501686,0.3353750987182728,1453.2677506555356,1162.004186981062,259.2148908458177,32.04867282865578,0,2304,1339,74301,1973,5,2,3,0
Richland County,North Dakota,42.376607139347406,3,0.4714303375369616,0.5342465753424658,0.704464000211769,0.2939461032574808,0.5801077112498843,0.4923391949317831,8083.472056566867,6901.495214329998,946.0904327996345,235.88640943723468,0,16584,7530,75432,1972,5,2,3,0
